ไฟส่องสว่างไม่ทำงาน,,ถนนเสียหาย,เดินไม่ได้  ,ขวางทางรถเมล์,ขยะ,ฝาท่อไม่เรียบ,สายไฟอันตราย,,ทางม้าลาย,รถเมล์,,,ลิง,,,,,,,,,ไม่มีใครรับเรื่อง,,,,,,,,,,,,,,,
ไม่มีไฟถนน,ทางเท้าลำบาก,ผิวถนนไม่เรียบ,ฟุทบาท,ขวางทางถนน,สกปรก,ท่อน้ำอุดตัน,สายไฟฟ้าไม่เป็นระเบียบ,,รถสวนกัน,ป้ายรถเมล์,,,นกพิราบ,,,,,,,,,แจ้งไปเงียบ,,,,,,,,,,,,,,,
ไฟถนนมืด,ทางเท้าอันตราย,ถนนสกปรก,พื้นบาท,การจราจรลำบาก,กลิ่น,ท่อน้ำชำรุด,สายไฟฟ้าน่ากลัว,,อุบัติเหตุ,รถติด,,,,,,,,,,,,ส่งรึยัง,,,,,,,,,,,,,,,
ไฟถนนเสีย,ทางเท้าเสื่อมโทรม,ผิวถนนชำรุด,ฟุตพาธ,รถจอดเกะกะ,ไม่ใช่แล้วมาทิ้ง,ท่อระบายน้ำชำรุด,สายไฟ,,ชนกัน,รถสาธารณะ,,,,,,,,,,,,ดำเนินการรึยัง,,,,,,,,,,,,,,,
ไฟชำรุด,ทางเดินพัง,ถนนไม่ชัด,ฟุตบาต,มอเตอร์ไซค์ย้อนศร,ไม่ใช้แล้วมาทิ้ง,ท่อทรุด,สายโทรศัพท์,,ไฟแดง,จราจรติดขัด,,,,,,,,,,,,แจ้งไปแล้ว,,,,,,,,,,,,,,,
ไฟส่องสว่างไม่เพียงพอ,ทางเดินอันตราย,ถนนน้ำท่วมขัง,ฟุธบาธ,เสาไฟฟ้าขวางทาง,กลิ่นเหม็น,ท่อส่งกลิ่นเน่าเหม็น,สายสื่อสาร,,ไฟจราจร,จราจร,,,,,,,,,,,,ไม่เห็นมีคนรับเรื่อง,,,,,,,,,,,,,,,
ไฟส่องถนนดับ,ทางเดินไม่ปลอดภัย,ถนนทรุดตัว,ฟุตบาต,ขายของกีดขวาง,รักษาความสะอาด,ท่อส่งกลิ่นเหม็นเน่า,สายเคเบิล,,สัญญาณไฟ,ป้ายรถเมย์,,,,,,,,,,,,แจ้งไปทาง ,,,,,,,,,,,,,,,
ไฟไม่มี,ทางเท้าไม่มี,น้ำท่วมขังถนน,ฟตุบาท,สายสื่อสารขวางทาง,ความสะอาด,ฝาท่อมีหลุม,สายเคเบิ้ล,,เส้นจราจร,รถโดยสาร,,,,,,,,,,,,ส่งเรื่องไปแล้ว,,,,,,,,,,,,,,,
ไฟส่องสว่างไม่ติด,ทางเท้าเป็นหลุมเป็นบ่อ,พื้นถนนพัง,ฟุตปาธ,รถขยะกีดขวาง,สกปก,ฝาท่อเสียหาย,สายสัญญาณ,,ขับย้อนศร,โบกไม่จอดป้าย,,,,,,,,,,,,เงียบไปเลย,,,,,,,,,,,,,,,
ไฟส่องสว่างเสีย,น้ำท่วมขังทางเท้า,ถนนแตก,ฟุตบาธ,กีดขวางเส้นทางจราจร,,ท่อน้ำไม่เป็นระเบียบ,สายพาด,,สติไม่ดี,ขนส่งมวลชน,,,,,,,,,,,,แจ้งมาแล้ว,,,,,,,,,,,,,,,
ไฟสว่างไม่เพียงพอ,ทางเดินไม่เรียบ,ผิวถนนเสียหาย,ฟตุบาท,ขวางทางการจราจร,,ท่อไม่มี,สายพัน,, วินมอไซต์วิ่งเร็วมากครับ,,,,,,,,,,,,,ยังไม่เห็นมี,,,,,,,,,,,,,,,
ไฟส่องสว่างไม่มี,ทางเดินเป็นหลุมเป็นบ่อ,ถนนมีหลุม,ฟุตปาธ,ขายของเกะกะ,,ท่อระบายน้ำทรุด,สายต่างๆ,,มอเตอร์ไซค์พุ่ง,,,,,,,,,,,,,ยังเงียบ,,,,,,,,,,,,,,,
ไม่มีไฟส่องทาง,น้ำนองทางเดิน,พื้นถนนไม่เท่ากัน,,จอดรถกีดขวางเส้นทาง,,ท่อระบายน้ำอุดตัน,สายต่าง,,ลื่นล้ม,,,,,,,,,,,,,แจ้งไปแล้ว,,,,,,,,,,,,,,,
ไฟข้ามถนนเสีย,ทางเท้าเสื่อมสภาพ,พื้นถนนชำรุด,,จอดกีดขวางทางจราจร,,ท่อแตก,สายผูก,,ไม่มีป้าย,,,,,,,,,,,,,แจ้งเรื่องไปนานมาก,,,,,,,,,,,,,,,
ไฟส่องถนนไม่ติด,ทางเดินเปลี่ยว,ไม่มีถนน,,มอเตอร์ไซค์กีดขวาง,,ไม่มีรางระบายน้ำ,สายสื่อ,,กินเลน,,,,,,,,,,,,,ไม่มีการรับเรื่อง,,,,,,,,,,,,,,,
ทางเท้ามืด,ขายของขวางทางเท้า,ถนนชำรุดเสียหาย,,จอดกีดขวางทางจราจร,,ฝาท่อระบายน้ำชำรุดเสียหาย,สายที่รุงรัง,,ย้อนสอน,,,,,,,,,,,,,แจ้งใหม่เหรอ,,,,,,,,,,,,,,,
ไฟทางเดินไม่ติด,ทางเดินลำบาก,ถนนแย่,,จอดรถเกะกะ,,ท่อระบายน้ำไม่มี,สายสือสาร,,ต้นไม้ใหญ่,,,,,,,,,,,,,แจ้งหลายครั้ง,,,,,,,,,,,,,,,
ไฟส่องทางดับ,ทางเท้าเละเทะ,ทางม้าลายไม่ปลอดภัย,,การจราจรไม่สะดวก,,ท่อระบายน้ำไม่เพียงพอ,สายสริง ,,ลูกระนาด,,,,,,,,,,,,,แจ้งเรื่องไปวันก่อน,,,,,,,,,,,,,,,
ไฟฟ้าไม่มี,ทางเท้าไม่ปลอดภัย,ถนนไม่สะดวก,,หาบเร่แผงลอยกีดขวาง,,ฝาท่อเสื่อมสภาพ,,,ห้ามยูเทิร์น,,,,,,,,,,,,,แจ้งหลายรอบ,,,,,,,,,,,,,,,
ไฟถนนไม่มี,ทางเท้าเสื่อมสภาพ,ผิวจราจรขรุขระ,,กีดขวาง,,ฝาท่อไม่เท่ากัน,,,เสี่ยง,,,,,,,,,,,,,ต้องแจ้งกี่รอบ,,,,,,,,,,,,,,,
ป้ายรถเมล์มืด,ทางเท้าส่งกลิ่นเหม็น,ถนนเละเทะ,,จอดขวาง,,ท่อระบายน้ำส่งกลิ่นเหม็น,,,สวนเลน,,,,,,,,,,,,,ไม่คืบหน้า,,,,,,,,,,,,,,,
แสงไฟไม่มี,ทางเท้าชำรุดเสียหาย,พื้นถนนเป็นหลุมบ่อ,,จอดซื้อของ,,ท่อระบายน้ำแตก,,,ย้อนศร,,,,,,,,,,,,,เคยแจ้ง,,,,,,,,,,,,,,,
ไม่มีไฟทางเดิน,ทางเท้า,ถนนอันตราย,,จอดรถ,,ไม่มีฝาท่อ,,,กิ่งไม้,,,,,,,,,,,,,ถึงไหนแล้ว,,,,,,,,,,,,,,,
ไฟใช้ไม่ได้,ทางเดิน,พื้นถนนแตก,,ร้านค้าแผงลอย,,ท่อระบายน้ำสกปรก,,,,,,,,,,,,,,,,ยังไม่ดำเนินการ,,,,,,,,,,,,,,,
ไฟริมทางเดินดับ,พื้นไม่เรียบ,ผิวจราจรไม่เรียบ,,ต้นไม้หัก,,ฝาท่อระบายน้ำขรุขระ,,,,,,,,,,,,,,,,ยังไม่มีการแก้ไข,,,,,,,,,,,,,,,
สะพานลอยมืด,พื้นแตก,ถนนทรุดโทรม,,ต้นไม้ล้ม,,ท่อระบายน้ำปิดไม่สนิท,,,,,,,,,,,,,,,,เคยแจ้งแล้ว,,,,,,,,,,,,,,,
ไฟทางเดินมืด,พื้นทรุด,พื้นถนนทรุด,,ต้นไม้,,ฝาท่อระบายน้ำปิดไม่สนิท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไม่มีเสาไฟฟ้า,ไม่มีที่ให้เดิน,ผิวถนนแย่,,เกะกะขวางทาง,,ฝาท่อชำรุดเสียหาย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
เสาไฟฟ้าพัง,เดินสะดุด,ถนนไม่เท่ากัน,,แผงลอย,,ฝาท่อไม่เรียบร้อย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไม่มีไฟสว่าง,ทางเท่า,ถนนมีหลุมบ่อ,,รถจอดขายของ,,ฝาท่อระบายน้ำพัง,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟถนนไม่ทำงาน,,ถนนไม่ปลอดภัย,,กิ่งก้านต้นไม้,,ท่อพัง,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
มืดมาก,,พื้นถนนเป็นหลุม,,รถจอดเต็ม,,ท่อระบายน้ำ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟ,,ทางม้าลายชำรุด,,รถเข้ามาจอด,,ท่อ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไม่มีแสงสว่าง,,ถนนเสื่อมสภาพ,,ขวางทางสัญจร,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,พื้นถนนเสียหาย,,จอดขว้าง,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ถนน,,รถจอด,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,เลนแคบ,,จอดรอ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,เป็นหลุม,,รุกล้ำ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,เป็นหลุมบ่อ,,ขวางทาง,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,หลุม,,ตั้งขายของ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,รถจอดค้าง,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,รถจอด,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,จอด,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ต้นไม่,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
